,statename,fipslist
49,Tennessee,"['47137', '47099', '47183', '47129', '47141', '47095', '47011', '47069', '47087', '47001', '47027', '47185', '47177', '47025', '47111', '47105', '47083', '47107', '47035', '47005', '47089', '47149', '47049', '47023', '47119', '47093', '47029', '47041', '47021', '47187', '47019', '47125', '47017', '47013', '47091', '47163', '47085', '47131', '47155', '47145', '47143', '47101', '47181', '47059', '47165', '47007', '47121', '47043', '47135', '47075', '47113', '47065', '47179', '47133', '47055', '47003', '47123', '47175', '47159', '47153', '47015', '47173', '47057', '47051', '47109', '47081', '47071', '47127', '47079', '47067', '47117', '47037', '47171', '47031', '47097', '47077', '47147', '47167', '47063', '47189', '47151', '47115', '47169', '47139', '47009', '47157', '47061', '47033', '47103', '47053', '47073', '47047', '47039', '47045', '47161']"
50,Texas,"['48015', '48089', '48451', '48321', '48487', '48405', '48013', '48493', '48299', '48217', '48215', '48375', '48457', '48313', '48221', '48363', '48141', '48173', '48033', '48441', '48337', '48427', '48049', '48311', '48083', '48507', '48091', '48275', '48109', '48407', '48211', '48009', '48333', '48179', '48463', '48353', '48265', '48223', '48005', '48069', '48253', '48459', '48111', '48371', '48401', '48317', '48465', '48447', '48329', '48057', '48267', '48207', '48127', '48039', '48475', '48103', '48343', '48061', '48063', '48147', '48017', '48281', '48497', '48379', '48341', '48241', '48443', '48377', '48319', '48171', '48225', '48273', '48279', '48125', '48067', '48239', '48491', '48199', '48163', '48023', '48439', '48119', '48437', '48101', '48073', '48229', '48301', '48345', '48003', '48113', '48201', '48153', '48291', '48183', '48135', '48367', '48387', '48413', '48339', '48105', '48081', '48041', '48047', '48393', '48305', '48295', '48247', '48297', '48203', '48477', '48021', '48445', '48143', '48077', '48209', '48065', '48263', '48159', '48449', '48261', '48157', '48365', '48251', '48495', '48303', '48431', '48131', '48325', '48137', '48419', '48479', '48359', '48187', '48385', '48245', '48421', '48107', '48501', '48007', '48195', '48351', '48323', '48289', '48075', '48243', '48277', '48001', '48389', '48085', '48055', '48271', '48309', '48167', '48151', '48071', '48099', '48411', '48381', '48121', '48327', '48503', '48095', '48053', '48029', '48361', '48257', '48269', '48045', '48139', '48031', '48059', '48185', '48433', '48469', '48161', '48473', '48155', '48373', '48383', '48037', '48231', '48197', '48087', '48169', '48051', '48307', '48425', '48331', '48315', '48079', '48235', '48461', '48177', '48347', '48043', '48429', '48417', '48357', '48335', '48019', '48189', '48471', '48145', '48035', '48391', '48395', '48233', '48409', '48133', '48423', '48287', '48129', '48011', '48283', '48397', '48415', '48027', '48117', '48499', '48193', '48175', '48489', '48237', '48191', '48369', '48205', '48025', '48293', '48123', '48115', '48181', '48219', '48399', '48165', '48403', '48285', '48259', '48485', '48097', '48249', '48149', '48255', '48227', '48481', '48455', '48355', '48467', '48505', '48483', '48435', '48453', '48349', '48093', '48213']"
51,UM,[]
52,Utah,"['49013', '49019', '49041', '49049', '49007', '49045', '49033', '49037', '49027', '49025', '49039', '49053', '49031', '49015', '49047', '49035', '49057', '49029', '49051', '49043', '49009', '49001', '49011', '49023', '49003', '49017', '49055', '49021', '49005']"
53,Virginia,"['51119', '51510', '51093', '51073', '51083', '51195', '51071', '51163', '51021', '51145', '51133', '51199', '51033', '51147', '51775', '51017', '51820', '51023', '51087', '51660', '51065', '51540', '51009', '51057', '51105', '51141', '51027', '51710', '51181', '51800', '51550', '51161', '51127', '51683', '51041', '51760', '51005', '51149', '51730', '51650', '51089', '51155', '51117', '51770', '51165', '51175', '51107', '51031', '51750', '51810', '51177', '51085', '51515', '51063', '51113', '51049', '51167', '51187', '51630', '51091', '51029', '51001', '51590', '51520', '51075', '51097', '51109', '51183', '51735', '51740', '51115', '51011', '51179', '51137', '51059', '51830', '51013', '51595', '51159', '51000', '51193', '51185', '51025', '51067', '51077', '51053', '51101', '51061', '51143', '51171', '51840', '51043', '51191', '51099', '51197', '51690', '51003', '51600', '51047', '51700', '51045', '51131', '51069', '51035', '51139', '51121', '51169', '51680', '51153', '51570', '51079', '51125', '51173', '51670', '51157', '51135', '51095', '51037', '51007', '51610', '51051', '51036', '51015', '51019', '51103', '51111']"
54,VI,"['78020', '78000', '78030']"
55,Vermont,"['50013', '50021', '50017', '50011', '50003', '50015', '50019', '50005', '50025', '50009', '50007', '50023', '50001', '50027']"
56,Washington,"['53019', '53027', '53005', '53071', '53057', '53077', '53055', '53025', '53051', '53063', '53059', '53031', '53069', '53073', '53045', '53013', '53033', '53240', '53039', '53053', '53010', '53065', '53041', '53061', '53037', '53067', '53029', '53075', '53001', '53015', '53023', '53003', '53011', '53035', '53007', '53043', '53009', '53021', '53049', '53017', '53047']"
57,Wisconsin,"['55141', '55103', '55127', '55039', '55133', '55021', '55053', '55025', '55073', '55027', '55067', '55015', '55037', '55065', '55095', '55011', '55009', '55121', '55005', '55137', '55093', '55029', '55129', '55041', '55077', '55033', '55107', '55023', '55085', '55047', '55139', '55055', '55097', '55131', '55035', '55051', '55069', '55109', '55061', '55099', '55113', '55117', '55049', '55101', '55091', '55007', '55075', '55043', '55045', '55119', '55019', '55111', '55059', '55123', '55001', '55057', '55089', '55071', '55013', '55063', '55115', '55078', '55105', '55017', '55135', '55031', '55087', '55003', '55125', '55081', '55083', '55079']"
58,West Virginia,"['54017', '54087', '54091', '54023', '54033', '54049', '54011', '54001', '54027', '54019', '54053', '54003', '54029', '54061', '54043', '54057', '54065', '54101', '54089', '54031', '54107', '54007', '54097', '54013', '54059', '54105', '54009', '54099', '54093', '54045', '54041', '54081', '54109', '54079', '54051', '54083', '54014', '54095', '54067', '54047', '54069', '54063', '54071', '54039', '54037', '54073', '54021', '54005', '54103', '54077', '54085', '54075', '54015', '54035', '54055', '54025']"
59,Wyoming,"['56001', '56039', '56019', '56025', '56031', '56029', '56021', '56041', '56003', '56009', '56045', '56013', '56037', '56005', '56033', '56027', '56015', '56023', '56043', '56007', '56011', '56017', '56035']"
